Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
20MICRONS.NS,20 Microns Limited
ASAHISONG.NS,Asahi Songwon Colors Limited
ASAL.NS,Automotive Stampings and Assemblies Limited
ASALCBR.NS,Associated Alcohols & Breweries Limited
ASHAPURMIN.NS,Ashapura Minechem Limited
ASHIANA.NS,Ashiana Housing Limited
ASHIMASYN.NS,Ashima Limited
ASHOKA.NS,Ashoka Buildcon Limited
ASHOKLEY.NS,Ashok Leyland Limited
ASIANHOTNR.NS,Asian Hotels (North) Limited
ASIANPAINT.NS,Asian Paints Limited
ASIAN-RE.NS,
ASIANTILES.NS,Asian Granito India Limited
ASPINWALL.NS,Aspinwall and Company Limited
ASTEC.NS,Astec LifeSciences Limited
ASTERDM.NS,Aster DM Healthcare Limited
ASTRAL.NS,Astral Limited
ASTRAMICRO.NS,Astra Microwave Products Limited
ASTRAZEN.NS,AstraZeneca Pharma India Limited
ASTRON.NS,Astron Paper & Board Mill Limited
ATFL.NS,Agro Tech Foods Limited
ATGL.NS,Adani Total Gas Limited
ATLANTA.NS,Atlanta Limited
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited
ATNINTER.NS,ATN International Limited
ATUL.NS,Atul Ltd
ATULAUTO.NS,Atul Auto Limited
AUBANK.NS,AU Small Finance Bank Limited
AURIONPRO.NS,Aurionpro Solutions Limited
AUROPHARMA.NS,Aurobindo Pharma Limited
AUSOMENT.NS,Ausom Enterprise Limited
AUTOAXLES.NS,Automotive Axles Limited
AUTOIND.NS,Autoline Industries Limited
AUTOLITIND.NS,Autolite (India) Limited
AVADHSUGAR.NS,Avadh Sugar & Energy Limited
AVANTIFEED.NS,Avanti Feeds Limited
AVTNPL.NS,AVT Natural Products Limited
AWHCL.NS,Antony Waste Handling Cell Limited
AXISBANK.NS,Axis Bank Limited
AXISCADES.NS,Axiscades Technologies Limited
AYMSYNTEX.NS,AYM Syntex Limited
BAFNAPH.NS,Bafna Pharmaceuticals Limited
BAGFILMS.NS,B.A.G. Films and Media Limited
BAJAJ-AUTO.NS,Bajaj Auto Limited
BAJAJCON.NS,Bajaj Consumer Care Limited
BAJAJELEC.NS,Bajaj Electricals Limited
BAJAJFINSV.NS,Bajaj Finserv Ltd.
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited
BAJFINANCE.NS,Bajaj Finance Limited
BALAJITELE.NS,Balaji Telefilms Limited
BALAMINES.NS,Balaji Amines Limited
BALAXI.NS,Balaxi Pharmaceuticals Limited
BALKRISHNA.NS,Balkrishna Paper Mills Limited
BALKRISIND.NS,Balkrishna Industries Limited
BALLARPUR.NS,Ballarpur Industries Limited
BALMLAWRIE.NS,Balmer Lawrie & Co. Ltd.
BALPHARMA.NS,Bal Pharma Limited
BALRAMCHIN.NS,Balrampur Chini Mills Limited
BANARBEADS.NS,Banaras Beads Limited
BANARISUG.NS,Bannari Amman Sugars Limited
BANCOINDIA.NS,Banco Products (India) Limited
BANDHANBNK.NS,Bandhan Bank Limited
