,Symbol,Name
7714,GANGOTRI.NS,Gangotri Textiles Limited
7715,GARFIBRES.NS,Garware Technical Fibres Limited
7716,GATI.NS,Gati Limited
7717,GAYAHWS.NS,Gayatri Highways Limited
7718,GAYAPROJ.NS,Gayatri Projects Limited
7719,GBGLOBAL.NS,GB Global Limited
7720,GDL.NS,Gateway Distriparks Limited
7721,GEECEE.NS,GeeCee Ventures Limited
7722,GEEKAYWIRE.NS,Geekay Wires Limited
7723,GENCON.NS,Generic Engineering Construction and Projects Limited
7724,GENESYS.NS,Genesys International Corporation Limited
7725,GENUSPAPER.NS,Genus Paper & Boards Limited
7726,GENUSPOWER.NS,Genus Power Infrastructures Limited
7727,GEOJITFSL.NS,Geojit Financial Services Limited
7728,GEPIL.NS,GE Power India Limited
7729,GESHIP.NS,The Great Eastern Shipping Company Limited
7730,GET&D.NS,GE T&D India Limited
7731,GFLLIMITED.NS,GFL Limited
7732,GFSTEELS.NS,Grand Foundry Limited
7733,GHCL.NS,GHCL Limited
7734,GICHSGFIN.NS,GIC Housing Finance Limited
7735,GICRE.NS,General Insurance Corporation of India
7736,GILLANDERS.NS,Gillanders Arbuthnot and Company Limited
7737,GILLETTE.NS,Gillette India Limited
7738,GINNIFILA.NS,Ginni Filaments Limited
7739,GIPCL.NS,Gujarat Industries Power Company Limited
7740,GISOLUTION.NS,GI Engineering Solutions Limited
7741,GKWLIMITED.NS,GKW Limited
7742,GLAND.NS,Gland Pharma Limited
7743,GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited
7744,GLENMARK.NS,Glenmark Pharmaceuticals Limited
7745,GLFL.NS,Gujarat Lease Financing Limited
7746,GLOBAL.NS,Global Education Limited
7747,GLOBALVECT.NS,Global Vectra Helicorp Limited
7748,GLOBE.NS,Globe Textiles (India) Limited
7749,GLOBUSSPR.NS,Globus Spirits Limited
7750,GLS.NS,Glenmark Life Sciences Limited
7751,GMBREW.NS,G.M. Breweries Limited
7752,GMDCLTD.NS,Gujarat Mineral Development Corporation Limited
7753,GMMPFAUDLR.NS,GMM Pfaudler Limited
7754,GMRINFRA.NS,GMR Infrastructure Limited
7755,GNA.NS,G N A Axles Limited
7756,GNFC.NS,Gujarat Narmada Valley Fertilizers & Chemicals Limited
7757,GOACARBON.NS,Goa Carbon Limited
7758,GOCLCORP.NS,GOCL Corporation Limited
7759,GODFRYPHLP.NS,Godfrey Phillips India Limited
7760,GODHA.NS,Godha Cabcon & Insulation Limited
7761,GODREJAGRO.NS,Godrej Agrovet Limited
7762,GODREJCP.NS,Godrej Consumer Products Limited
7763,GODREJIND.NS,Godrej Industries Limited
7764,GODREJPROP.NS,Godrej Properties Limited
7765,GOENKA.NS,Goenka Diamond and Jewels Limited
7766,GOKEX.NS,Gokaldas Exports Limited
7767,GOKUL.NS,Gokul Refoils & Solvent Limited
7768,GOKULAGRO.NS,Gokul Agro Resources Limited
7769,GOLDENTOBC.NS,Golden Tobacco Limited
7770,GOLDIAM.NS,Goldiam International Limited
7771,GOLDSHARE.NS,UTI Mutual Fund - UTI-Gold Exchange Traded Fund
7772,GOLDTECH.NS,Goldstone Technologies Limited
7773,GOODLUCK.NS,Goodluck India Limited
7774,GOODYEAR.NS,Goodyear India Limited
7775,GPIL.NS,Godawari Power & Ispat Limited
7776,GPPL.NS,Gujarat Pipavav Port Limited
7777,GPTINFRA.NS,GPT Infraprojects Limited
7778,GRANULES.NS,Granules India Limited
7779,GRAPHITE.NS,Graphite India Limited
7780,GRASIM.NS,Grasim Industries Limited
7781,GRAUWEIL.NS,Grauer & Weil (India) Limited
7782,GRAVITA.NS,Gravita India Limited
7783,GREAVESCOT.NS,Greaves Cotton Limited
7784,GREENLAM.NS,Greenlam Industries Limited
7785,GREENPANEL.NS,Greenpanel Industries Limited
7786,GREENPLY.NS,Greenply Industries Limited
7787,GREENPOWER.NS,Orient Green Power Company Limited
7788,GRINDWELL.NS,Grindwell Norton Limited
7789,GRINFRA.NS,G R Infraprojects Limited
7790,GROBTEA.NS,The Grob Tea Company Limited
7791,GRPLTD.NS,GRP Limited
7792,GRSE.NS,Garden Reach Shipbuilders & Engineers Limited
7793,GSCLCEMENT.NS,Gujarat Sidhee Cement Limited
7794,GSFC.NS,Gujarat State Fertilizers & Chemicals Limited
7795,GSPL.NS,Gujarat State Petronet Limited
7796,GSS.NS,GSS Infotech Limited
7797,GTL.NS,GTL Limited
7798,GTLINFRA.NS,GTL Infrastructure Limited
7799,GTNTEX.NS,GTN Textiles Limited
7800,GTPL.NS,GTPL Hathway Limited
7801,GUFICBIO.NS,Gufic Biosciences Limited
7802,GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited
7803,GUJAPOLLO.NS,Gujarat Apollo Industries Limited
7804,GUJGASLTD.NS,Gujarat Gas Limited
7805,GUJRAFFIA.NS,Gujarat Raffia Industries Limited
7806,GULFOILLUB.NS,Gulf Oil Lubricants India Limited
7807,GULFPETRO.NS,GP Petroleums Limited
7808,GULPOLY.NS,Gulshan Polyols Limited
7809,GVKPIL.NS,GVK Power & Infrastructure Limited
7810,HAL.NS,Hindustan Aeronautics Limited
7811,HAPPSTMNDS.NS,Happiest Minds Technologies Limited
7812,HARITASEAT.NS,Harita Seating Systems Limited
7813,HARRMALAYA.NS,Harrisons Malayalam Limited
7814,HATHWAY.NS,Hathway Cable and Datacom Limited
7815,HATSUN.NS,Hatsun Agro Product Limited
7816,HAVELLS.NS,Havells India Limited
7817,HAVISHA.NS,Sri Havisha Hospitality and Infrastructure Limited
7818,HBLPOWER.NS,HBL Power Systems Limited
7819,HBSL.NS,HB Stockholdings Limited
7820,HCC.NS,Hindustan Construction Company Limited
7821,HCG.NS,HealthCare Global Enterprises Limited
7822,HCL-INSYS.NS,HCL Infosystems Limited
7823,HCLTECH.NS,HCL Technologies Limited
7824,HDFC.NS,Housing Development Finance Corporation Limited
7825,HDFCAMC.NS,HDFC Asset Management Company Limited
7826,HDFCBANK.NS,HDFC Bank Limited
7827,HDFCLIFE.NS,HDFC Life Insurance Company Limited
7828,HDIL.NS,Housing Development and Infrastructure Limited
7829,HEG.NS,HEG Limited
7830,HEIDELBERG.NS,HeidelbergCement India Limited
7831,HEMIPROP.NS,Hemisphere Properties India Limited
7832,HERANBA.NS,Heranba Industries Limited
7833,HERCULES.NS,Hercules Hoists Limited
7834,HERITGFOOD.NS,Heritage Foods Limited
7835,HEROMOTOCO.NS,Hero MotoCorp Limited
7836,HESTERBIO.NS,Hester Biosciences Limited
7837,HEXATRADEX.NS,Hexa Tradex Limited
7838,HFCL.NS,HFCL Limited
7839,HGINFRA.NS,H.G. Infra Engineering Limited
7840,HGS.NS,Hinduja Global Solutions Limited
7841,HIKAL.NS,Hikal Limited
7842,HIL.NS,HIL Limited
7843,HILTON.NS,Hilton Metal Forging Limited
7844,HIMATSEIDE.NS,Himatsingka Seide Limited
7845,HINDALCO.NS,Hindalco Industries Limited
7846,HINDCOMPOS.NS,Hindustan Composites Limited
7847,HINDCON.NS,Hindcon Chemicals Limited
7848,HINDCOPPER.NS,Hindustan Copper Limited
7849,HINDMOTORS.NS,Hindustan Motors Limited
7850,HINDNATGLS.NS,Hindusthan National Glass & Industries Limited
7851,HINDOILEXP.NS,Hindustan Oil Exploration Company Limited
7852,HINDPETRO.NS,Hindustan Petroleum Corporation Limited
7853,HINDUNILVR.NS,Hindustan Unilever Limited
7854,HINDZINC.NS,Hindustan Zinc Limited
7855,HIRECT.NS,Hind Rectifiers Limited
7856,HISARMETAL.NS,Hisar Metal Industries Limited
7857,HITECH.NS,Hi-Tech Pipes Limited
7858,HITECHCORP.NS,Hitech Corporation Limited
7859,HITECHGEAR.NS,The Hi-Tech Gears Limited
7860,HLEGLAS.NS,HLE Glascoat Limited
7861,HLVLTD.NS,HLV Limited
7862,HMT.NS,HMT Limited
7863,HMVL.NS,Hindustan Media Ventures Limited
7864,HNDFDS.NS,Hindustan Foods Limited
7865,HOMEFIRST.NS,Home First Finance Company India Limited
7866,HONAUT.NS,Honeywell Automation India Limited
7867,HONDAPOWER.NS,Honda India Power Products Limited
7868,HOTELRUGBY.NS,Hotel Rugby Limited
7869,HOVS.NS,HOV Services Limited
7870,HPAL.NS,HP Adhesives Limited
7871,HPL.NS,HPL Electric & Power Limited
7872,HSCL.NS,Himadri Speciality Chemical Limited
7873,HSIL.NS,HSIL Limited
7874,HTMEDIA.NS,HT Media Limited
7875,HUBTOWN.NS,Hubtown Limited
7876,HUDCO.NS,Housing and Urban Development Corporation Limited
7877,HUHTAMAKI.NS,Huhtamaki India Limited
7878,IBREALEST.NS,Indiabulls Real Estate Limited
7879,IBULHSGFIN.NS,Indiabulls Housing Finance Limited
7880,ICDSLTD.NS,ICDS Limited
7881,ICEMAKE.NS,Ice Make Refrigeration Limited
7882,ICICI500.NS,ICICI Prudential S&P BSE 500 ETF
7883,ICICIALPLV.NS,ICICI Prudential Mutual Fund - ICICI Prudential Alpha Low Vol 30 ETF
7884,ICICIB22.NS,ICICI Prudential Mutual Fund - Bharat 22 ETF
7885,ICICIBANK.NS,ICICI Bank Limited
7886,ICICIFMCG.NS,
7887,ICICIGI.NS,ICICI Lombard General Insurance Company Limited
7888,ICICILIQ.NS,ICICI Prudential Mutual Fund - ICICI Prudential Liquid ETF
7889,ICICILOVOL.NS,ICICI Prudential Mutual Fund - ICICI Prudential Nifty Low Vol 30 iWIN ETF
7890,ICICIM150.NS,ICICI Prudential Amc Ltd. - ICICI Prudential Mutual Fund ICICI Prudential Midcap 150 ETF
7891,ICICIMCAP.NS,ICICI Prudential Mutual Fund - ICICI Prudential Midcap Select ETF
7892,ICICINF100.NS,ICICI Prudential Mutual Fund - ICICI Prudential Nifty 100 ETF
7893,ICICINV20.NS,ICICI Prudential Mutual Fund - ICICI Prudential Fixed Maturity Plan - Series 79 - 1126 Days Plan C
7894,ICICINXT50.NS,ICICI Prudential Mutual Fund - ICICI Prudential Nifty Next 50 ETF
7895,ICICIPHARM.NS,ICICI Prudential AMC Ltd. - ICICI Prudential Mutual Fund - ICICI Prudential Healthcare ETF
7896,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited
7897,ICICISENSX.NS,ICICI Prudential Mutual Fund - ICICI Prudential Sensex ETF
7898,ICICITECH.NS,ICICI Prudential Mutual Fund - ICICI Prudential IT ETF
7899,ICIL.NS,Indo Count Industries Limited
7900,ICRA.NS,ICRA Limited
7901,IDBI.NS,IDBI Bank Limited
7902,IDEA.NS,Vodafone Idea Limited
7903,IDFC.NS,IDFC Limited
7904,IDFCFIRSTB.NS,IDFC First Bank Limited
7905,IEX.NS,Indian Energy Exchange Limited
7906,IFBAGRO.NS,IFB Agro Industries Limited
7907,IFBIND.NS,IFB Industries Limited
7908,IFCI.NS,IFCI Limited
7909,IFGLEXPOR.NS,IFGL Refractories Limited
7910,IGARASHI.NS,Igarashi Motors India Limited
7911,IGL.NS,Indraprastha Gas Limited
7912,IGPL.NS,I G Petrochemicals Limited
7913,IIFL.NS,IIFL Finance Limited
7914,IIFLSEC.NS,IIFL Securities Limited
7915,IIFLWAM.NS,IIFL Wealth Management Limited
7916,IITL.NS,Industrial Investment Trust Limited
7917,IL&FSENGG.NS,IL&FS Engineering and Construction Company Limited
7918,IL&FSTRANS.NS,IL&FS Transportation Networks Limited
7919,IMAGICAA.NS,Imagicaaworld Entertainment Limited
7920,IMFA.NS,Indian Metals and Ferro Alloys Limited
7921,IMPAL.NS,India Motor Parts & Accessories Limited
7922,IMPEXFERRO.NS,Impex Ferro Tech Limited
7923,INCREDIBLE.NS,Incredible Industries Limited
7924,INDBANK.NS,Indbank Merchant Banking Services Limited
7925,INDHOTEL.NS,The Indian Hotels Company Limited
7926,INDIACEM.NS,The India Cements Limited
7927,INDIAGLYCO.NS,India Glycols Limited
7928,INDIAMART.NS,IndiaMART InterMESH Limited
7929,INDIANB.NS,Indian Bank
7930,INDIANCARD.NS,The Indian Card Clothing Company Limited
7931,INDIANHUME.NS,The Indian Hume Pipe Company Limited
7932,INDIGO.NS,InterGlobe Aviation Limited
7933,INDIGOPNTS.NS,Indigo Paints Limited
7934,INDLMETER.NS,IMP Powers Limited
7935,INDNIPPON.NS,India Nippon Electricals Limited
7936,INDOCO.NS,Indoco Remedies Limited
7937,INDORAMA.NS,Indo Rama Synthetics (India) Limited
7938,INDOSOLAR.NS,Indosolar Limited
7939,INDOSTAR.NS,IndoStar Capital Finance Limited
7940,INDOTECH.NS,Indo Tech Transformers Limited
7941,INDOTHAI.NS,Indo Thai Securities Limited
7942,INDOWIND.NS,Indowind Energy Limited
7943,INDRAMEDCO.NS,Indraprastha Medical Corporation Limited
7944,INDSWFTLAB.NS,Ind-Swift Laboratories Limited
7945,INDSWFTLTD.NS,Ind-Swift Limited
7946,INDTERRAIN.NS,Indian Terrain Fashions Limited
7947,INDUSINDBK.NS,IndusInd Bank Limited
7948,INDUSTOWER.NS,Indus Towers Limited
7949,INEOSSTYRO.NS,INEOS Styrolution India Limited
7950,INFIBEAM.NS,Infibeam Avenues Limited
7951,INFOBEAN.NS,InfoBeans Technologies Limited
7952,INFOMEDIA.NS,Infomedia Press Limited
7953,INFY.NS,Infosys Limited
7954,INGERRAND.NS,Ingersoll-Rand (India) Limited
7955,INOXLEISUR.NS,INOX Leisure Limited
7956,INOXWIND.NS,Inox Wind Limited
7957,INSECTICID.NS,Insecticides (India) Limited
7958,INSPIRISYS.NS,Inspirisys Solutions Limited
7959,INTEGRA.NS,Integra Garments and Textiles Limited
7960,INTELLECT.NS,Intellect Design Arena Limited
7961,INTENTECH.NS,Intense Technologies Limited
7962,INTLCONV.NS,
7963,INVENTURE.NS,Inventure Growth & Securities Limited
7964,IOB.NS,Indian Overseas Bank
7965,IOC.NS,Indian Oil Corporation Limited
7966,IOLCP.NS,IOL Chemicals and Pharmaceuticals Limited
7967,IPCALAB.NS,Ipca Laboratories Limited
7968,IPL.NS,India Pesticides Limited
7969,IRB.NS,IRB Infrastructure Developers Limited
7970,IRCON.NS,Ircon International Limited
7971,IRCTC.NS,Indian Railway Catering & Tourism Corporation Limited
7972,IRFC.NS,Indian Railway Finance Corporation Limited
7973,IRISDOREME.NS,Iris Clothings Limited
7974,ISEC.NS,ICICI Securities Limited
7975,ISFT.NS,IntraSoft Technologies Limited
7976,ISGEC.NS,Isgec Heavy Engineering Limited
7977,ISMTLTD.NS,ISMT Limited
7978,ITC.NS,ITC Limited
7979,ITDC.NS,India Tourism Development Corporation Limited
7980,ITDCEM.NS,ITD Cementation India Limited
7981,ITI.NS,ITI Limited
7982,IVC.NS,IL&FS Investment Managers Limited
7983,IVP.NS,IVP Limited
7984,IWEL.NS,Inox Wind Energy Limited
7985,IZMO.NS,IZMO Limited
7986,J&KBANK.NS,The Jammu and Kashmir Bank Limited
7987,JAGRAN.NS,Jagran Prakashan Limited
7988,JAGSNPHARM.NS,Jagsonpal Pharmaceuticals Limited
7989,JAIBALAJI.NS,Jai Balaji Industries Limited
7990,JAICORPLTD.NS,Jai Corp Limited
7991,JAINSTUDIO.NS,Jain Studios Limited
7992,JAIPURKURT.NS,Nandani Creation Limited
7993,JAMNAAUTO.NS,Jamna Auto Industries Limited
7994,JASH.NS,Jash Engineering Limited
7995,JAYAGROGN.NS,Jayant Agro-Organics Limited
7996,JAYBARMARU.NS,Jay Bharat Maruti Limited
7997,JAYNECOIND.NS,Jayaswal Neco Industries Limited
7998,JAYSREETEA.NS,Jay Shree Tea & Industries Limited
7999,JBCHEPHARM.NS,J. B. Chemicals & Pharmaceuticals Limited
8000,JBFIND.NS,JBF Industries Limited
8001,JBMA.NS,JBM Auto Limited
8002,JCHAC.NS,Johnson Controls-Hitachi Air Conditioning India Limited
8003,JETAIRWAYS.NS,Jet Airways (India) Limited
8004,JHS.NS,JHS Svendgaard Laboratories Limited
8005,JIKIND.NS,JIK Industries Limited
8006,JINDALPHOT.NS,Jindal Photo Limited
8007,JINDALPOLY.NS,Jindal Poly Films Limited
8008,JINDALSAW.NS,Jindal Saw Limited
8009,JINDALSTEL.NS,Jindal Steel & Power Limited
8010,JINDCOT.NS,Jindal Cotex Limited
8011,JINDRILL.NS,Jindal Drilling & Industries Limited
8012,JINDWORLD.NS,Jindal Worldwide Limited
8013,JISLDVREQS.NS,Jain Irrigation Systems Limited
8014,JISLJALEQS.NS,Jain Irrigation Systems Limited
8015,JITFINFRA.NS,JITF Infralogistics Limited
8016,JIYAECO.NS,Jiya Eco-Products Limited
8017,JKCEMENT.NS,J.K. Cement Limited
8018,JKIL.NS,J. Kumar Infraprojects Limited
8019,JKLAKSHMI.NS,JK Lakshmi Cement Limited
8020,JKPAPER.NS,JK Paper Ltd
8021,JKTYRE.NS,JK Tyre & Industries Limited
8022,JMA.NS,Jullundur Motor Agency (Delhi) Limited
8023,JMCPROJECT.NS,JMC Projects (India) Limited
8024,JMFINANCIL.NS,JM Financial Limited
8025,JMTAUTOLTD.NS,JMT Auto Limited
8026,JOCIL.NS,Jocil Limited
8027,JPASSOCIAT.NS,Jaiprakash Associates Limited
8028,JPINFRATEC.NS,Jaypee Infratech Limited
8029,JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited
8030,JPPOWER.NS,Jaiprakash Power Ventures Limited
8031,JSL.NS,Jindal Stainless Limited
8032,JSLHISAR.NS,Jindal Stainless (Hisar) Limited
8033,JSWENERGY.NS,JSW Energy Limited
8034,JSWHL.NS,JSW Holdings Limited
8035,JSWISPL.NS,JSW Ispat Special Products Limited
8036,JSWSTEEL.NS,JSW Steel Limited
8037,JTEKTINDIA.NS,JTEKT India Limited
8038,JUBLFOOD.NS,Jubilant FoodWorks Limited
8039,JUBLINDS.NS,Jubilant Industries Limited
8040,JUBLINGREA.NS,Jubilant Ingrevia Limited
8041,JUBLPHARMA.NS,Jubilant Pharmova Limited
8042,JUMPNET.NS,WinPro Industries Limited
8043,JUSTDIAL.NS,Just Dial Limited
8044,JYOTHYLAB.NS,Jyothy Labs Limited
8045,JYOTISTRUC.NS,Jyoti Structures Limited
8046,KABRAEXTRU.NS,Kabra Extrusiontechnik Limited
8047,KAJARIACER.NS,Kajaria Ceramics Limited
8048,KAKATCEM.NS,Kakatiya Cement Sugar and Industries Limited
8049,KALPATPOWR.NS,Kalpataru Power Transmission Limited
8050,KALYANIFRG.NS,Kalyani Forge Limited
8051,KALYANKJIL.NS,Kalyan Jewellers India Limited
8052,KAMATHOTEL.NS,Kamat Hotels (India) Limited
8053,KAMDHENU.NS,Kamdhenu Limited
8054,KANANIIND.NS,Kanani Industries Limited
8055,KANORICHEM.NS,Kanoria Chemicals & Industries Limited
8056,KANPRPLA.NS,Kanpur Plastipack Limited
8057,KANSAINER.NS,Kansai Nerolac Paints Limited
8058,KAPSTON.NS,Kapston Facilities Management Limited
8059,KARDA.NS,KBC Global Limited
8060,KARMAENG.NS,Karma Energy Limited
8061,KARURVYSYA.NS,The Karur Vysya Bank Limited
8062,KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited
8063,KAVVERITEL.NS,Kavveri Telecom Products Limited
8064,KAYA.NS,Kaya Limited
8065,KCP.NS,The KCP Limited
8066,KCPSUGIND.NS,K.C.P. Sugar and Industries Corporation Limited
8067,KDDL.NS,KDDL Limited
8068,KEC.NS,KEC International Limited
8069,KECL.NS,Kirloskar Electric Company Limited
8070,KEERTI.NS,Keerti Knowledge and Skills Limited
8071,KEI.NS,KEI Industries Limited
8072,KELLTONTEC.NS,Kellton Tech Solutions Limited
8073,KENNAMET.NS,Kennametal India Limited
8074,KERNEX.NS,Kernex Microsystems (India) Limited
8075,KESORAMIND.NS,Kesoram Industries Limited
8076,KEYFINSERV.NS,Keynote Financial Services Limited
8077,KGL.NS,Karuturi Global Limited
8078,KHADIM.NS,Khadim India Limited
8079,KHAICHEM.NS,
8080,KHAITANLTD.NS,Khaitan (India) Limited
8081,KHANDSE.NS,Khandwala Securities Limited
8082,KICL.NS,Kalyani Investment Company Limited
8083,KILITCH.NS,Kilitch Drugs (India) Limited
8084,KIMS.NS,Krishna Institute of Medical Sciences Limited
8085,KINGFA.NS,Kingfa Science & Technology (India) Limited
8086,KIOCL.NS,KIOCL Limited
8087,KIRIINDUS.NS,Kiri Industries Limited
8088,KIRLFER.NS,Kirloskar Ferrous Industries Limited
8089,KIRLOSBROS.NS,Kirloskar Brothers Limited
8090,KIRLOSENG.NS,Kirloskar Oil Engines Limited
8091,KIRLOSIND.NS,Kirloskar Industries Limited
8092,KITEX.NS,Kitex Garments Limited
8093,KKCL.NS,Kewal Kiran Clothing Limited
8094,KMSUGAR.NS,K.M. Sugar Mills Limited
8095,KNRCON.NS,KNR Constructions Limited
8096,KOHINOOR.NS,Kohinoor Foods Limited
8097,KOKUYOCMLN.NS,Kokuyo Camlin Limited
8098,KOLTEPATIL.NS,Kolte-Patil Developers Limited
8099,KOPRAN.NS,Kopran Limited
8100,KOTAKBANK.NS,Kotak Mahindra Bank Limited
8101,KOTAKIT.NS,Kotak Mahindra Mutual Fund - Kotak IT Etf
8102,KOTAKNV20.NS,Kotak Mahindra Mutual Fund - Kotak NV 20 ETF
8103,KOTAKPSUBK.NS,Kotak Mahindra Mutual Fund - Kotak PSU Bank ETF
8104,KOTARISUG.NS,Kothari Sugars and Chemicals Limited
8105,KOTHARIPET.NS,Kothari Petrochemicals Limited
8106,KOTHARIPRO.NS,Kothari Products Limited
8107,KOVAI.NS,Kovai Medical Center and Hospital Limited
8108,KPIGLOBAL.NS,K.P.I. Global Infrastructure Limited
8109,KPITTECH.NS,KPIT Technologies Limited
8110,KPRMILL.NS,K.P.R. Mill Limited
8111,KRBL.NS,KRBL Limited
8112,KREBSBIO.NS,Krebs Biochemicals & Industries Limited
8113,KRIDHANINF.NS,Kridhan Infra Limited
8114,KRISHANA.NS,Krishana Phoschem Limited
8115,KRSNAA.NS,Krsnaa Diagnostics Limited
8116,KSB.NS,KSB Limited
8117,KSCL.NS,Kaveri Seed Company Limited
8118,KSERASERA.NS,KSS Limited
8119,KSL.NS,Kalyani Steels Limited
8120,KTKBANK.NS,The Karnataka Bank Limited
8121,KUANTUM.NS,Kuantum Papers Limited
8122,L&TFH.NS,L&T Finance Holdings Limited
8123,LAKPRE.NS,Lakshmi Precision Screws Limited
8124,LALPATHLAB.NS,Dr. Lal PathLabs Limited
8125,LAMBODHARA.NS,Lambodhara Textiles Limited
8126,LAOPALA.NS,La Opala RG Limited
8127,LASA.NS,Lasa Supergenerics Limited
8128,LAURUSLABS.NS,Laurus Labs Limited
8129,LAXMIMACH.NS,Lakshmi Machine Works Limited
8130,LCCINFOTEC.NS,LCC Infotech Limited
8131,LEMONTREE.NS,Lemon Tree Hotels Limited
8132,LFIC.NS,Lakshmi Finance & Industrial Corporation Limited
8133,LGBBROSLTD.NS,L.G. Balakrishnan & Bros Limited
8134,LGBFORGE.NS,LGB Forge Limited
8135,LIBAS.NS,Libas Consumer Products Limited
8136,LIBERTSHOE.NS,Liberty Shoes Ltd.
8137,LICHSGFIN.NS,LIC Housing Finance Limited
8138,LICNFNHGP.NS,LIC Mutual Fund - LIC MF Exchange Traded Fund - NIFTY 100
8139,LIKHITHA.NS,Likhitha Infrastructure Limited
8140,LINCOLN.NS,Lincoln Pharmaceuticals Limited
8141,LINCPEN.NS,Linc Limited
8142,LINDEINDIA.NS,Linde India Limited
8143,LODHA.NS,Macrotech Developers Limited
8144,LOKESHMACH.NS,Lokesh Machines Limited
8145,LOTUSEYE.NS,Lotus Eye Hospital and Institute Limited
8146,LOVABLE.NS,Lovable Lingerie Limited
8147,LPDC.NS,Landmark Property Development Company Limited
8148,LSIL.NS,Lloyds Steels Industries Limited
8149,LT.NS,Larsen & Toubro Limited
8150,LTI.NS,Larsen & Toubro Infotech Limited
8151,LTTS.NS,L&T Technology Services Limited
8152,LUMAXIND.NS,Lumax Industries Limited
8153,LUMAXTECH.NS,Lumax Auto Technologies Limited
8154,LUPIN.NS,Lupin Limited
8155,LUXIND.NS,Lux Industries Limited
8156,LXCHEM.NS,Laxmi Organic Industries Limited
8157,LYKALABS.NS,Lyka Labs Limited
8158,LYPSAGEMS.NS,Lypsa Gems & Jewellery Limited
8159,M&M.NS,Mahindra & Mahindra Limited
8160,M&MFIN.NS,Mahindra & Mahindra Financial Services Limited
8161,MAANALU.NS,Maan Aluminium Limited
8162,MACPOWER.NS,Macpower CNC Machines Limited
8163,MADHAV.NS,Madhav Marbles and Granites Limited
8164,MADHUCON.NS,Madhucon Projects Limited
8165,MADRASFERT.NS,Madras Fertilizers Limited
8166,MAFANG.NS,Mirae Asset Global Invest (I) Pvt. Ltd. - Mirae Asset MF - Mirae Asset Nyse Fang Plus ETF
8167,MAGADSUGAR.NS,Magadh Sugar & Energy Limited
8168,MAGMA.NS,Poonawalla Fincorp Limited
8169,MAGNUM.NS,Magnum Ventures Limited
8170,MAHABANK.NS,Bank of Maharashtra
8171,MAHAPEXLTD.NS,Maha Rashtra Apex Corporation Limited
8172,MAHASTEEL.NS,Mahamaya Steel Industries Limited
8173,MAHEPC.NS,Mahindra EPC Irrigation Limited
8174,MAHESHWARI.NS,Maheshwari Logistics Limited
8175,MAHINDCIE.NS,Mahindra CIE Automotive Limited
8176,MAHLIFE.NS,Mahindra Lifespace Developers Limited
8177,MAHLOG.NS,Mahindra Logistics Limited
8178,MAHSCOOTER.NS,Maharashtra Scooters Ltd.
8179,MAHSEAMLES.NS,Maharashtra Seamless Limited
8180,MAITHANALL.NS,Maithan Alloys Limited
8181,MAJESCO.NS,Majesco Limited
8182,MALUPAPER.NS,Malu Paper Mills Limited
8183,MANAKALUCO.NS,Manaksia Aluminium Company Limited
8184,MANAKCOAT.NS,Manaksia Coated Metals & Industries Limited
8185,MANAKSIA.NS,Manaksia Limited
8186,MANAKSTEEL.NS,Manaksia Steels Limited
8187,MANALIPETC.NS,Manali Petrochemicals Limited
8188,MANAPPURAM.NS,Manappuram Finance Limited
8189,MANGALAM.NS,Mangalam Drugs & Organics Limited
8190,MANGCHEFER.NS,Mangalore Chemicals & Fertilizers Limited
8191,MANGLMCEM.NS,Mangalam Cement Limited
8192,MANGTIMBER.NS,Mangalam Timber Products Limited
8193,MANINDS.NS,Man Industries (India) Limited
8194,MANINFRA.NS,Man Infraconstruction Limited
8195,MANUGRAPH.NS,Manugraph India Limited
8196,MANXT50.NS,Mirae Asset Global Investments India Pvt Ltd - Mirae Asset Mutual Fund - Mirae Asset NIFTY Next 50
8197,MARALOVER.NS,Maral Overseas Limited
8198,MARATHON.NS,Marathon Nextgen Realty Limited
8199,MARICO.NS,Marico Limited
8200,MARINE.NS,Marine Electricals (India) Limited
8201,MARKSANS.NS,Marksans Pharma Limited
8202,MARUTI.NS,Maruti Suzuki India Limited
8203,MASFIN.NS,MAS Financial Services Limited
8204,MASKINVEST.NS,Mask Investments Limited
8205,MASPTOP50.NS,
8206,MASTEK.NS,Mastek Limited
8207,MATRIMONY.NS,Matrimony.com Limited
8208,MAWANASUG.NS,Mawana Sugars Limited
8209,MAXHEALTH.NS,Max Healthcare Institute Limited
8210,MAXIND.NS,Max India Limited
8211,MAXVIL.NS,Max Ventures and Industries Limited
8212,MAYURUNIQ.NS,Mayur Uniquoters Limited
8213,MAZDA.NS,Mazda Limited
8214,MAZDOCK.NS,Mazagon Dock Shipbuilders Limited
8215,MBAPL.NS,Madhya Bharat Agro Products Limited
8216,MBECL.NS,McNally Bharat Engineering Company Limited
8217,MBLINFRA.NS,MBL Infrastructures Limited
8218,MCDHOLDING.NS,McDowell Holdings Limited
8219,MCDOWELL-N.NS,United Spirits Limited
8220,MCL.NS,Madhav Copper Limited
8221,MCLEODRUSS.NS,McLeod Russel India Limited
8222,MCX.NS,Multi Commodity Exchange of India Limited
